Time	Radiation	Bins						Sorted Radiation	Poisson		Gaussian				Poisson	Gaussian	
6	25	14		mean	stdev	s^2		14	0.388662278	14	0.515765834			14	0.388662278	14	0.515765834
12	29	18		25.94	5.124610488	26.26163265		14	0.388662278	14	0.515765834			17	1.662731575	17	1.699802256
18	22	22		Min/Max				17	1.662731575	17	1.699802256			18	2.396180947	18	2.344080734
24	24	26		14				17	1.662731575	17	1.699802256			19	3.271417567	19	3.111784451
30	24	30		41				18	2.396180947	18	2.344080734			20	4.243028584	20	3.976575423
36	27	34						18	2.396180947	18	2.344080734			21	5.241150546	21	4.891834082
42	21	38						18	2.396180947	18	2.344080734			22	6.179792963	22	5.792912781
48	29	42						18	2.396180947	18	2.344080734			23	6.969731715	23	6.603665061
54	25							19	3.271417567	19	3.111784451			24	7.533118362	24	7.246626242
60	32							19	3.271417567	19	3.111784451			25	7.816363612	25	7.655075244
66	24							19	3.271417567	19	3.111784451			26	7.79832585	26	7.784412513
72	27							20	4.243028584	20	3.976575423			27	7.492169354	27	7.62017591
78	26							21	5.241150546	21	4.891834082			28	6.940959751	28	7.180702413
84	29							21	5.241150546	21	4.891834082			29	6.208568826	29	6.513758266
90	37							21	5.241150546	21	4.891834082			30	5.368342512	30	5.687993908
96	22							21	5.241150546	21	4.891834082			31	4.492090476	31	4.781337327
102	25							21	5.241150546	21	4.891834082			32	3.641400842	32	3.869032905
108	26							21	5.241150546	21	4.891834082			33	2.862361753	33	3.013826442
114	21							21	5.241150546	21	4.891834082			34	2.183813643	34	2.259939595
120	26							22	6.179792963	22	5.792912781			35	1.618517883	35	1.631316392
126	30							22	6.179792963	22	5.792912781			37	0.817623228	37	0.7582445
132	23							22	6.179792963	22	5.792912781			41	0.152314432	41	0.103730083
138	27							22	6.179792963	22	5.792912781						
144	33							22	6.179792963	22	5.792912781						
150	31							22	6.179792963	22	5.792912781						
156	28							22	6.179792963	22	5.792912781						
162	22							22	6.179792963	22	5.792912781						
168	27							22	6.179792963	22	5.792912781						
174	21							22	6.179792963	22	5.792912781						
180	41							23	6.969731715	23	6.603665061						
186	14							23	6.969731715	23	6.603665061						
192	32							23	6.969731715	23	6.603665061						
198	22							23	6.969731715	23	6.603665061						
204	17							23	6.969731715	23	6.603665061						
210	19							24	7.533118362	24	7.246626242						
216	28							24	7.533118362	24	7.246626242						
222	21							24	7.533118362	24	7.246626242						
228	31							24	7.533118362	24	7.246626242						
234	19							24	7.533118362	24	7.246626242						
240	29							24	7.533118362	24	7.246626242						
246	27							24	7.533118362	24	7.246626242						
252	26							24	7.533118362	24	7.246626242						
258	17							24	7.533118362	24	7.246626242						
264	26							25	7.816363612	25	7.655075244						
270	21							25	7.816363612	25	7.655075244						
276	27							25	7.816363612	25	7.655075244						
282	29							25	7.816363612	25	7.655075244						
288	33							25	7.816363612	25	7.655075244						
294	24							25	7.816363612	25	7.655075244						
300	31							25	7.816363612	25	7.655075244						
306	30							26	7.79832585	26	7.784412513						
312	29							26	7.79832585	26	7.784412513						
318	19							26	7.79832585	26	7.784412513						
324	24							26	7.79832585	26	7.784412513						
330	22							26	7.79832585	26	7.784412513						
336	27							27	7.492169354	27	7.62017591						
342	21							27	7.492169354	27	7.62017591						
348	25							27	7.492169354	27	7.62017591						
354	30							27	7.492169354	27	7.62017591						
360	22							27	7.492169354	27	7.62017591						
366	28							27	7.492169354	27	7.62017591						
372	24							27	7.492169354	27	7.62017591						
378	18							27	7.492169354	27	7.62017591						
384	25							27	7.492169354	27	7.62017591						
390	35							27	7.492169354	27	7.62017591						
396	34							27	7.492169354	27	7.62017591						
402	24							28	6.940959751	28	7.180702413						
408	23							28	6.940959751	28	7.180702413						
414	29							28	6.940959751	28	7.180702413						
420	18							29	6.208568826	29	6.513758266						
426	23							29	6.208568826	29	6.513758266						
432	22							29	6.208568826	29	6.513758266						
438	24							29	6.208568826	29	6.513758266						
444	24							29	6.208568826	29	6.513758266						
450	27							29	6.208568826	29	6.513758266						
456	23							29	6.208568826	29	6.513758266						
462	18							29	6.208568826	29	6.513758266						
468	29							29	6.208568826	29	6.513758266						
474	35							29	6.208568826	29	6.513758266						
480	31							30	5.368342512	30	5.687993908						
486	29							30	5.368342512	30	5.687993908						
492	35							30	5.368342512	30	5.687993908						
498	30							30	5.368342512	30	5.687993908						
504	22							31	4.492090476	31	4.781337327						
510	27							31	4.492090476	31	4.781337327						
516	20							31	4.492090476	31	4.781337327						
522	18							31	4.492090476	31	4.781337327						
528	27							31	4.492090476	31	4.781337327						
534	32							31	4.492090476	31	4.781337327						
540	31							32	3.641400842	32	3.869032905						
546	14							32	3.641400842	32	3.869032905						
552	22							32	3.641400842	32	3.869032905						
558	29							33	2.862361753	33	3.013826442						
564	27							33	2.862361753	33	3.013826442						
570	31							34	2.183813643	34	2.259939595						
576	25							35	1.618517883	35	1.631316392						
582	21							35	1.618517883	35	1.631316392						
588	22							35	1.618517883	35	1.631316392						
594	25							37	0.817623228	37	0.7582445						
600	23							41	0.152314432	41	0.103730083						
